cora label 1 0.1
OOD Test 1 Final AUROC: 92.91 ± nan OOD Test 1 Final AUPR: 84.05 ± nan OOD Test 1 Final FPR: 35.40 ± nan
In Test Score: 88.92 ± nan
cora label 16 0.7
OOD Test 1 Final AUROC: 92.86 ± nan OOD Test 1 Final AUPR: 84.50 ± nan OOD Test 1 Final FPR: 36.82 ± nan
In Test Score: 88.92 ± nan
cora label 24 0.7
OOD Test 1 Final AUROC: 92.71 ± nan OOD Test 1 Final AUPR: 85.19 ± nan OOD Test 1 Final FPR: 39.76 ± nan
In Test Score: 88.92 ± nan
cora label 36 0.7
OOD Test 1 Final AUROC: 92.64 ± nan OOD Test 1 Final AUPR: 85.93 ± nan OOD Test 1 Final FPR: 37.83 ± nan
In Test Score: 88.92 ± nan
cora label 48 0.7
OOD Test 1 Final AUROC: 92.57 ± nan OOD Test 1 Final AUPR: 86.21 ± nan OOD Test 1 Final FPR: 33.77 ± nan
In Test Score: 88.92 ± nan
cora label 64 0.7
OOD Test 1 Final AUROC: 92.54 ± nan OOD Test 1 Final AUPR: 86.31 ± nan OOD Test 1 Final FPR: 31.74 ± nan
In Test Score: 88.92 ± nan
cora label 1 0.9
OOD Test 1 Final AUROC: 91.99 ± nan OOD Test 1 Final AUPR: 79.34 ± nan OOD Test 1 Final FPR: 33.27 ± nan
In Test Score: 88.92 ± nan
cora label 2 0.9
OOD Test 1 Final AUROC: 92.27 ± nan OOD Test 1 Final AUPR: 80.12 ± nan OOD Test 1 Final FPR: 34.99 ± nan
In Test Score: 88.92 ± nan
cora label 3 0.9
OOD Test 1 Final AUROC: 92.47 ± nan OOD Test 1 Final AUPR: 80.68 ± nan OOD Test 1 Final FPR: 35.40 ± nan
In Test Score: 88.92 ± nan
cora label 5 0.9
OOD Test 1 Final AUROC: 92.68 ± nan OOD Test 1 Final AUPR: 81.39 ± nan OOD Test 1 Final FPR: 32.45 ± nan
In Test Score: 88.92 ± nan
cora label 8 0.9
OOD Test 1 Final AUROC: 92.83 ± nan OOD Test 1 Final AUPR: 82.03 ± nan OOD Test 1 Final FPR: 33.37 ± nan
In Test Score: 88.92 ± nan
cora label 12 0.9
OOD Test 1 Final AUROC: 92.94 ± nan OOD Test 1 Final AUPR: 82.58 ± nan OOD Test 1 Final FPR: 31.64 ± nan
In Test Score: 88.92 ± nan
cora label 16 0.9
OOD Test 1 Final AUROC: 93.00 ± nan OOD Test 1 Final AUPR: 82.94 ± nan OOD Test 1 Final FPR: 32.05 ± nan
In Test Score: 88.92 ± nan
cora label 24 0.9
OOD Test 1 Final AUROC: 93.00 ± nan OOD Test 1 Final AUPR: 83.48 ± nan OOD Test 1 Final FPR: 32.96 ± nan
In Test Score: 88.92 ± nan
cora label 36 0.9
OOD Test 1 Final AUROC: 92.93 ± nan OOD Test 1 Final AUPR: 84.02 ± nan OOD Test 1 Final FPR: 35.29 ± nan
In Test Score: 88.92 ± nan
cora label 48 0.9
OOD Test 1 Final AUROC: 92.86 ± nan OOD Test 1 Final AUPR: 84.49 ± nan OOD Test 1 Final FPR: 36.82 ± nan
In Test Score: 88.92 ± nan
cora label 64 0.9
OOD Test 1 Final AUROC: 92.75 ± nan OOD Test 1 Final AUPR: 84.99 ± nan OOD Test 1 Final FPR: 38.64 ± nan
In Test Score: 88.92 ± nan
